Country,Group,Female Count,Femaie Percent,Male Count,Male Percent,Total Count,_id,MC_Entity,MC_EntityBB,MC_EntityShort,MC_EntityLong,MC_Address,MC_Telephone,MC_Telefax,MC_MembershipDate,MC_Holiday,MC_Category,MC_Category_Type,MC_WebSite,MC_SocialMedia,MC_eMail,MC_UNCorrespondenceLanguage
Paraguay,Latin American and Caribbean States,5,41.67%,7,58.33%,12,5ed5136868235a1f35484c73,PARAGUAY,Paraguay,Paraguay,Republic of Paraguay,"Permanent Mission of Paraguay
to the United Nations
801 Second Avenue, 13th Floor, Suite 1301
New York, NY 10017","212-687-3490
212-687-3491",212-818-1282,10/24/45,"Independence Day, 15 May",1,,,,paraguay.un@mre.gov.py,Spanish
Philippines,Asia-Pacific States,14,50.00%,14,50.00%,28,5ed5136868235a1f35484c75,PHILIPPINES,Philippines,Philippines,Republic of the Philippines,"Permanent Mission of the Republic
of the Philippines to the United Nations
556 Fifth Avenue, 5th Floor
New York, NY 10036",212-764-1300,212-840-8602,10/24/45,"Independence Day, 12 June",1,,www.un.int/philippines,,newyork.pm@nypm.org; newyork.pm@dfa.gov.ph,English
Poland,Eastern European States,9,37.50%,15,62.50%,24,5ed5136868235a1f35484c76,POLAND,Poland,Poland,Republic of Poland,"Permanent Mission of the Republic
of Poland to the United Nations
750 Third Avenue, 30th Floor
New York, NY 10017",646-690-6060,"646-690-6099
",10/24/45,"Constitution Day, 3 May",1,,http://nowyjorkonz.msz.gov.pl/en/,,poland.un@msz.gov.pl,English
Russian Federation,Eastern European States,13,17.57%,61,82.43%,74,5ed5136868235a1f35484c7c,RUSSIAN FEDERATION,Russian Federation,Russian Federation,Russian Federation,"Permanent Mission of the Russian Federation
to the United Nations
136 East 67th Street
New York, NY 10065","212-861-4900
212-861-4901","212-628-0252
212-517-7427",10/24/45,"Day of Russia, 12 June",1,,www.russiaun.ru,,press@russiaun.ru,English
Saudi Arabia,Asia-Pacific States,4,12.50%,28,87.50%,32,5ed5136868235a1f35484c84,SAUDI ARABIA,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia,"Permanent Mission of Saudi Arabia
to the United Nations
809 United Nations Plaza, 10th/11th Floors
New York, NY 10017",212-557-1525,212-983-4895,10/24/45,23-Sep,1,,,,correspondences@mofa.gov.sa,English
Syrian Arab Republic,Asia-Pacific States,2,13.33%,13,86.67%,15,5ed5136868235a1f35484c96,SYRIAN ARAB REPUBLIC,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,"Permanent Mission of the Syrian Arab Republic
to the United Nations
820 Second Avenue, 15th Floor
New York, NY 10017",212-661-1313,212-983-4439,10/24/45,"Independence Day, 17 April",1,,,,syrianmission-ny@sar-un.org,English
Türkiye,Western European and other States,10,32.26%,21,67.74%,31,5ed5136868235a1f35484c9e,T√úRKƒ∞YE,T√ºrkiye,Türkiye,Republic of T√ºrkiye,"Permanent Mission of T√ºrkiye
to the United Nations
821 United Nations Plaza, 10th Floor
New York, NY 10017",212-949-0150,212-949-0086,10/24/45,"Republic Day, 29 October",1,,www.turkuno.dt.mfa.gov.tr,,tr-delegation.newyork@mfa.gov.tr,English
Ukraine,Eastern European States,4,30.77%,9,69.23%,13,5ed5136868235a1f35484ca2,UKRAINE,Ukraine,Ukraine,Ukraine,"Permanent Mission of Ukraine
to the United Nations
220 East 51st Street
New York, NY 10022",212-759-7003,212-355-9455,10/24/45,"Independence Day, 24 August",1,,https://un.mfa.gov.ua/,,"uno_us@mfa.gov.ua
",English
United Kingdom,Western European and other States,37,63.79%,21,36.21%,58,5ed5136868235a1f35484ca4,UNITED KINGDOM,United Kingdom of Great Britain and Northern Ireland,United Kingdom,United Kingdom of Great Britain and Northern Ireland,"Permanent Mission of the United Kingdom of Great Britain and Northern Ireland
to the United Nations
One Dag Hammarskj√∂ld Plaza
885 Second Avenue
New York, NY 10017",212-745-9200,,10/24/45,"Celebration of the Birthday of His Majesty the King, 21 June (2025)",1,,www.gov.uk/world/uk-mission-to-the-united-nations-new-york,,ukmissionny@gmail.com,English
United States of America,Western European and other States,59,50.00%,59,50.00%,118,5ed5136868235a1f35484ca6,UNITED STATES OF AMERICA,United States of America,United States of America,United States of America,"United States Mission to the United Nations
799 United Nations Plaza
New York, NY 10017",212-415-4000,,10/24/45,"Independence Day, 4 July",1,,usun.state.gov,,usun.newyork@state.gov,English
Greece,Western European and other States,15,48.39%,16,51.61%,31,5ed5136868235a1f35484c31,GREECE,Greece,Greece,Hellenic Republic,"Permanent Mission of Greece
to the United Nations
866 Second Avenue, 13th Floor
New York, NY 10017-2905","212-888-6900
212-479-1300",212-888-4440,10/25/45,"Independence Day, 25 March",1,,www.mfa.gr/un,,grdel.un@mfa.gr (for all subject matters except related to UN Security Council); grmission.unsc@mfa.gr (for UN Security Council matters only),English
India,Asia-Pacific States,7,30.43%,16,69.57%,23,5ed5136868235a1f35484c3b,INDIA,India,India,Republic of India,"Permanent Mission of India
to the United Nations
235 East 43rd Street
New York, NY 10017","212-490-9660
212-490-9661",212-490-9656,10/30/45,"Anniversary of the Proclamation of the Republic, 26 January",1,,,,india.newyorkpmi@mea.gov.in,English
Peru,Latin American and Caribbean States,2,16.67%,10,83.33%,12,5ed5136868235a1f35484c74,PERU,Peru,Peru,Republic of Peru,"Permanent Mission of Peru
to the United Nations
820 Second Avenue, Suite 1600
New York, NY 10017","212-687-3336
212-937-0567 (Press Matters)","212-972-6975
212-883-0591 (Permanent Representative's Office)",10/31/45,"Independence Day, 28 July",1,,www.un.int/peru,,onuper@unperu.org,Spanish
Australia,Western European and other States,15,60.00%,10,40.00%,25,5ed5136868235a1f35484bf6,AUSTRALIA,Australia,Australia,Commonwealth of Australia,"Permanent Mission of Australia
to the United Nations
150 East 42nd Street, 33rd Floor
New York, NY 10017",212-351-6600,212-351-6610,11/1/45,"Australia Day, 26 January",1,,,,australiaun@dfat.gov.au,English
Costa Rica,Latin American and Caribbean States,3,37.50%,5,62.50%,8,5ed5136868235a1f35484c15,COSTA RICA,Costa Rica,Costa Rica,Republic of Costa Rica,"Permanent Mission of Costa Rica
to the United Nations
211 East 43rd Street, Suite 1002
New York, NY 10017",212-986-6373,,11/2/45,"Independence Day, 15 September",1,,,,miscr-onu@rree.go.cr,Spanish
Liberia,African States,6,33.33%,12,66.67%,18,5ed5136868235a1f35484c4e,LIBERIA,Liberia,Liberia,Republic of Liberia,"Permanent Mission of the Republic
of Liberia to the United Nations
228 East 45th Street, 6th Floor, Suite 600-A
New York, NY 10017","917-261-6056
917-261-6072
917-261-6089",917- 261-6086,11/2/45,"Independence Day, 26 July",1,,www.pml.gov.lr,,liberiamission@pmun.org,English
Colombia,Latin American and Caribbean States,9,39.13%,14,60.87%,23,5ed5136868235a1f35484c12,COLOMBIA,Colombia,Colombia,Republic of Colombia,"Permanent Mission of Colombia
to the United Nations
801 Second Avenue, 12th Floor
New York, NY 10017",212-355-7776,212-371-2813,11/5/45,"Independence Day, 20 July",1,,www.colombiaun.org/,,"colombia@colombiaun.org;
donuny@cancilleria.gov.co",Spanish
Mexico,Latin American and Caribbean States,7,33.33%,14,66.67%,21,5ed5136868235a1f35484c5c,MEXICO,Mexico,Mexico,United Mexican States,"Permanent Mission of Mexico
to the United Nations
Two United Nations Plaza, 28th Floor
New York, NY 10017",212-752-0220,"212-688-8533
212-752-0634 ",11/7/45,"Independence Day, 16 September",1,,www.sre.gob.mx/onu,,onuusr1@sre.gob.mx,Spanish
South Africa,African States,10,45.45%,12,54.55%,22,5ed5136868235a1f35484c8e,SOUTH AFRICA,South Africa,South Africa,Republic of South Africa,"Permanent Mission of the Republic
of South Africa to the United Nations
845 Third Avenue, 9th Floor
New York, NY 10022",212-692-2421,,11/7/45,"Freedom Day, 27 April",1,,,,pmun.newyork@dirco.gov.za,English
Canada,Western European and other States,16,50.00%,16,50.00%,32,5ed5136868235a1f35484c0d,CANADA,Canada,Canada,Canada,"Permanent Mission of Canada
to the United Nations
466 Lexington Avenue, 20th Floor
New York, NY 10017",212-848-1100,212-848-1195,11/9/45,"Canada Day, 1 July",1,,www.un.int/canada,"Twitter: @CanadaUN (English)
Twitter: @CanadaONU (French)",PRMNYCanadaUN@international.gc.ca,English/French
Ethiopia,African States,5,26.32%,14,73.68%,19,5ed5136868235a1f35484c28,ETHIOPIA,Ethiopia,Ethiopia,Federal Democratic Republic of Ethiopia,"Permanent Mission of the Federal Democratic Republic
of Ethiopia to the United Nations
866 Second Avenue, Third Floor
New York, NY 10017

Extension office as of 1 June 2016

801 Second Avenue, 13th Floor
New York, NY 10017","212-421-1830
646-518-5900",646-756-4690,11/13/45,28-May,1,,,,ethiopia@un.int,English
Panama,Latin American and Caribbean States,11,45.83%,13,54.17%,24,5ed5136868235a1f35484c71,PANAMA,Panama,Panama,Republic of Panama,"Permanent Mission of Panama
to the United Nations
10 Grand Central
155 East 44th Street, 26th Floor
New York, NY 10017","212-421-5420
212-421-5421",,11/13/45,"Independence Day, 3 November",1,,www.panama-un.org,,emb@panama-un.org,Spanish
Bolivia (Plurinational State of),Latin American and Caribbean States,3,60.00%,2,40.00%,5,5ed5136868235a1f35484c02,BOLIVIA (PLURINATIONAL STATE OF),Bolivia (Plurinational State of),Bolivia (Plurinational State of),Plurinational State of Bolivia,"Permanent Mission of Bolivia
to the United Nations
801 Second Avenue, 4th Floor, Suite 402
New York, NY 10017","212-682-8132
",212-687-4642,11/14/45,"Independence Day, 6 August",1,,www.un.int/bolivia,Twitter: @BoliviaUNNY,"boliviaunmission@gmail.com 
",Spanish
Venezuela (Bolivarian Republic of),Latin American and Caribbean States,2,28.57%,5,71.43%,7,5ed5136868235a1f35484caa,VENEZUELA (BOLIVARIAN REPUBLIC OF),Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),Bolivarian Republic of Venezuela,"Permanent Mission of the Bolivarian Republic
of Venezuela to the United Nations
335 East 46th Street
New York, NY 10017",646-559-4952,,11/15/45,"Independence Day, 5 July",1,,,@ONUVENuevaYork,misionvenezuelaonu@gmail.com,Spanish
Guatemala,Latin American and Caribbean States,7,53.85%,6,46.15%,13,5ed5136868235a1f35484c33,GUATEMALA,Guatemala,Guatemala,Republic of Guatemala,"Permanent Mission of Guatemala
to the United Nations
57 Park Avenue
New York, NY 10016",212-679-4760,,11/21/45,"Independence Day, 15 September",1,,www.guatemalaun.com,Twitter: @GuatemalaONU,onunewyork@minex.gob.gt,Spanish
Norway,Western European and other States,11,64.71%,6,35.29%,17,5ed5136868235a1f35484c6d,NORWAY,Norway,Norway,Norway,"Permanent Mission of Norway
to the United Nations
One Dag Hammarskj√∂ld Plaza
885 Second Avenue, 35th Floor
New York, NY 10017",646-430-7510,,11/27/45,"Constitution Day, 17 May",1,,,Twitter (X): @NorwayUN; Instagram: @norwayun,"delun@mfa.no

",English
Netherlands (Kingdom of the),Western European and other States,10,50.00%,10,50.00%,20,5ed5136868235a1f35484c67,NETHERLANDS (KINGDOM OF THE),Netherlands (Kingdom of the),Netherlands (Kingdom of the),Kingdom of the Netherlands,"Permanent Mission of the Kingdom
of the Netherlands to the United Nations
666 Third Avenue, 19th Floor
New York, NY 10017",212-519-9500,212-370-1954,12/10/45,"King's Day, 27 April",1,,www.netherlandsmission.org,,nyv@minbuza.nl,English
Honduras,Latin American and Caribbean States,2,40.00%,3,60.00%,5,5ed5136868235a1f35484c38,HONDURAS,Honduras,Honduras,The Republic of Honduras,"Permanent Mission of Honduras
to the United Nations
866 United Nations Plaza, Suite 417
New York, NY 10017
","212-752-3370
212-752-3371",212-223-0498,12/17/45,"Independence Day, 15 September",1,,www.un.int/honduras,,Ny.honduras@hnun.org,Spanish
Uruguay,Latin American and Caribbean States,6,75.00%,2,25.00%,8,5ed5136868235a1f35484ca7,URUGUAY,Uruguay,Uruguay,Oriental Republic of Uruguay,"Permanent Mission of Uruguay
to the United Nations
633 Third Avenue, Suite 13H
New York, NY 10017",212-752-8240,212-593-0935,12/18/45,"Independence Day, 25 August",1,,www.urudeleg.org,,urudeleg@mrree.gub.uy,Spanish
Ecuador,Latin American and Caribbean States,3,27.27%,8,72.73%,11,5ed5136868235a1f35484c21,ECUADOR,Ecuador,Ecuador,Republic of Ecuador,"Permanent Mission of Ecuador
to the United Nations
801 Second Avenue, 9th Floor
New York, NY 10017","212-935-1680
212-935-1681",212-935-1835,12/21/45,"Independence Day, 10 August",1,,,,onunewyork@cancilleria.gob.ec,Spanish
Iraq,Asia-Pacific States,4,19.05%,17,80.95%,21,5ed5136868235a1f35484c3e,IRAQ,Iraq,Iraq,Republic of Iraq,"Permanent Mission of the Republic
of Iraq to the United Nations
14 East 79th Street
New York, NY 10075",212-737-4433,,12/21/45,,1,,mofa.gov.iq/newyork,,Iraq.mission@iraqmission-un.com,English
Belgium,Western European and other States,4,28.57%,10,71.43%,14,5ed5136868235a1f35484bfe,BELGIUM,Belgium,Belgium,Kingdom of Belgium,"Permanent Mission of Belgium
to the United Nations
One Dag Hammarskj√∂ld Plaza
885 Second Avenue, 41st Floor
New York, NY 10017",212-378-6300,212-681-7618,12/27/45,"National Day, 21 July",1,,www.diplomatie.be/newyorkun,,newyorkun@diplobel.fed.be,French
Afghanistan,Asia-Pacific States,,,1,100.00%,1,5ed5136868235a1f35484bee,AFGHANISTAN,Afghanistan,Afghanistan,Islamic Republic of Afghanistan,"Permanent Mission of Afghanistan
to the United Nations
633 Third Avenue, 27th Floor
New York, NY 10017",212-972-1212,212-972-1216,11/19/46,"Independence Day, 19 August",1,,,,info@afghanistan-un.org,English
Iceland,Western European and other States,5,62.50%,3,37.50%,8,5ed5136868235a1f35484c3a,ICELAND,Iceland,Iceland,Iceland,"Permanent Mission of Iceland
to the United Nations
733 Third Avenue, 18th Floor
New York, NY 10017","212-593-2700
646-282-9370",None (email only),11/19/46,"Anniversary of the Establishment of the Republic, 17 June",1,,,,unmission@mfa.is,English
Sweden,Western European and other States,11,55.00%,9,45.00%,20,5ed5136868235a1f35484c94,SWEDEN,Sweden,Sweden,Kingdom of Sweden,"Permanent Mission of Sweden
to the United Nations
One Dag Hammarskj√∂ld Plaza
885 Second Avenue, 46th Floor
New York, NY 10017-2201",212-583-2500,,11/19/46,6-Jun,1,,www.swedenabroad.com/un,Twitter: @SwedenUN,representationen.new-york@gov.se,English
Thailand,Asia-Pacific States,8,53.33%,7,46.67%,15,5ed5136868235a1f35484c98,THAILAND,Thailand,Thailand,Kingdom of Thailand,"Permanent Mission of Thailand
to the United Nations
136 East 39th Street
New York, NY 10016",212-754-2230,917-261-4468,12/16/46,"National Day, 5 December",1,,,,ThaiMission.NYM@mfa.go.th,English
Pakistan,Asia-Pacific States,3,15.79%,16,84.21%,19,5ed5136868235a1f35484c6f,PAKISTAN,Pakistan,Pakistan,Islamic Republic of Pakistan,"Permanent Mission of Pakistan
to the United Nations
Pakistan House
8 East 65th Street
New York, NY 10065","212-879-8600
212-879-8603
212-879-8025
212-879-8028
212-879-8031
212-879-8033",212-744-7348,9/30/47,"Pakistan Day, 23 March",1,,www.pakun.org,,"pakistan@pakun.org
",English
Yemen,Asia-Pacific States,1,14.29%,6,85.71%,7,5ed5136868235a1f35484cac,YEMEN,Yemen,Yemen,Republic of Yemen,"Permanent Mission of the Republic
of Yemen to the United Nations
413 East 51st Street
New York, NY 10022","212-355-1730
212-355-1731",,9/30/47,22-May,1,,,,yemenmissionny@gmail.com,English
Myanmar,Asia-Pacific States,,,6,100.00%,6,5ed5136868235a1f35484c63,MYANMAR,Myanmar,Myanmar,Republic of the Union of Myanmar,"Permanent Mission of the Republic of the Union
of Myanmar to the United Nations
10 East 77th Street
New York, NY 10075","212-744-1271
212-744-1275
212-744-1279",212-744-1290,4/19/48,"Independence Day, 4 January",1,,https://www.myanmarmissionnewyork.org/,,"myanmarmission@verizon.net
",English
Israel,Western European and other States,7,18.92%,30,81.08%,37,5ed5136868235a1f35484c40,ISRAEL,Israel,Israel,State of Israel,"Permanent Mission of Israel
to the United Nations
800 Second Avenue
New York, NY 10017",212-499-5344,212-499-5515,5/11/49,"Independence Day, 1 May (2025)",1,,embassies.gov.il/un,,uninfo@newyork.mfa.gov.il,English
Indonesia,Asia-Pacific States,7,31.82%,15,68.18%,22,5ed5136868235a1f35484c3c,INDONESIA,Indonesia,Indonesia,Republic of Indonesia,"Permanent Mission of the Republic
of Indonesia to the United Nations
325 East 38th Street
New York, NY 10016",212-972-8333,212-972-9780,9/28/50,"Independence Day, 17 August",1,,www.indonesiaun.org,,ptri@indonesiaun.org,English
Albania,Eastern European States,1,20.00%,4,80.00%,5,5ed5136868235a1f35484bef,ALBANIA,Albania,Albania,Republic of Albania,"Permanent Mission of the Republic
of Albania to the United Nations
320 East 79th Street
New York, NY 10075","212-249-2059
212-249-5654",646-390-3337,12/14/55,"Independence Day, 28 November",1,,www.ambasadat.gov.al/united-nations,,"mission.newyork@mfa.gov.al; OfficeofthePR.Albania@mfa.gov.al
",English
Austria,Western European and other States,5,31.25%,11,68.75%,16,5ed5136868235a1f35484bf7,AUSTRIA,Austria,Austria,Republic of Austria,"Permanent Mission of Austria
to the United Nations
633 Third Avenue, 18th Floor
New York, NY 10017",917-542-8400,,12/14/55,26-Oct,1,,www.bmeia.gv.at/oev-new-york,,new-york-ov@bmeia.gv.at,English
Bulgaria,Eastern European States,5,71.43%,2,28.57%,7,5ed5136868235a1f35484c07,BULGARIA,Bulgaria,Bulgaria,Republic of Bulgaria,"Permanent Mission of the Republic
of Bulgaria to the United Nations
11 East 84th Street
New York, NY 10028","212-737-4790
212-737-4791",,12/14/55,"Liberation Day, 3 March",1,,www.mfa.bg/embassies/usapr,,mission.newyork@mfa.bg,English\French
Cambodia,Asia-Pacific States,1,8.33%,11,91.67%,12,5ed5136868235a1f35484c0b,CAMBODIA,Cambodia,Cambodia,Kingdom of Cambodia,"Permanent Mission of the Kingdom
of Cambodia to the United Nations
327 East 58th Street
New York, NY 10022",212-336-0777,212-759-7672,12/14/55,"Independence Day, 9 November",1,,,,cambodia@un.int,English
Finland,Western European and other States,12,75.00%,4,25.00%,16,5ed5136868235a1f35484c2a,FINLAND,Finland,Finland,Republic of Finland,"Permanent Mission of Finland
to the United Nations
605 Third Avenue, 35th Floor
New York, NY 10158",212-355-2100,212-759-6156,12/14/55,"Independence Day, 6 December",1,,www.finlandun.org,Twitter: @FinlandUN,sanomat.yke@gov.fi,English
Hungary,Eastern European States,6,50.00%,6,50.00%,12,5ed5136868235a1f35484c39,HUNGARY,Hungary,Hungary,Hungary,"Permanent Mission of Hungary
to the United Nations
227 East 52nd Street
New York, NY 10022-6301",212-752-0209,212-755-5395,12/14/55,23-Oct,1,,un-newyork.mfa.gov.hu,,hungaryun.ny@mfa.gov.hu,English
Ireland,Western European and other States,7,43.75%,9,56.25%,16,5ed5136868235a1f35484c3f,IRELAND,Ireland,Ireland,Ireland,"Permanent Mission of Ireland
to the United Nations
885 Second Avenue, 21st Floor
New York, NY 10017",212-421-6934,,12/14/55,"St. Patrick's Day, 17 March",1,,www.dfa.ie/pmun/newyork/,Twitter: @irishmissionun,newyorkpmun@dfa.ie,English
Italy,Western European and other States,13,39.39%,20,60.61%,33,5ed5136868235a1f35484c41,ITALY,Italy,Italy,Republic of Italy,"Permanent Mission of Italy
to the United Nations
One Dag Hammarskjold Plaza
885 Second Avenue, 49th Floor
New York, NY 10017","646-840-5300 
212-486-9191
",212-486-1036,12/14/55,"Anniversary of the Republic, 2 June",1,,https://italyun.esteri.it/en/,,info.italyun@esteri.it,English
Jordan,Asia-Pacific States,3,33.33%,6,66.67%,9,5ed5136868235a1f35484c44,JORDAN,Jordan,Jordan,Hashemite Kingdom of Jordan,"Permanent Mission of the Hashemite Kingdom of Jordan
to the United Nations
866 Second Avenue, 4th Floor
New York, NY 10017",212-832-9553,212-832-5346,12/14/55,"Independence Day, 25 May",1,,,,missionun@jordanmissionun.com,English
Lao People's Democratic Republic,Asia-Pacific States,3,23.08%,10,76.92%,13,5ed5136868235a1f35484c4a,LAO PEOPLE'S DEMOCRATIC REPUBLIC,Lao People's Democratic Republic,Lao People's Democratic Republic,Lao People's Democratic Republic,"Permanent Mission of the Lao People‚Äôs Democratic 
Republic to the United Nations
317 East 51st Street (between 1st & 2nd Avenue)
New York, NY 10022","212-832-2734
212-832-0095",212-750-0039,12/14/55,2-Dec,1,,www.un.int/lao,,lao.pr.ny@gmail.com,English/French
Libya,African States,2,11.76%,15,88.24%,17,5ed5136868235a1f35484c4f,LIBYA,Libya,Libya,State of Libya,"Permanent Mission of the State of Libya
to the United Nations
309-315 East 48th Street
New York, NY 10017",212-752-5775,212-593-4787,12/14/55,"Independence Day, 24 December",1,,,,"mission@libya-un.gov.ly;
Libya_mis_us@foreign.gov.ly",English
